,productTitle,Review Title,Rating,Review Body
0,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Having major issues after 3 months of usage,2.0 out of 5 stars,"Sound quality is ok, but build quality is not good. After 3 months of usage,- Touch controls dont work properly- Earbuds dont disconnect after putting them back in case- Mic stopped working on right earbudDO NOT BUY THIS."
1,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Worth the price,3.0 out of 5 stars,Everything feature justifies the price but battery drains within 3 hours on call it goes maximum of 2 hours
2,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Bekar,1.0 out of 5 stars,Bakar
3,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","Used Product, Shabbily Packed",2.0 out of 5 stars,"I got a product that was already used by someone. Even the name of the device was already set. The package arrived in a food parcel cover. The seals of the product was not present. I had to return the product as i feared that it was used. In the limited time i got to use the product, it seemed good. The call vocie quality was excellent, the sound quality is good and the ANC is average. However, considering the price most of these minor problems could be ignored."
4,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Never buy this waste product,1.0 out of 5 stars,"I have used this product just for 4 months in the starting it was good sound, Anc l, connectivity All good but after 4 months the light was blinking and it was unable to connect# I don't prefer this product for the usage of 4 months 4 thousand = 4 months great 👏waste of money"
5,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Used product received,5.0 out of 5 stars,"I got a used product while it claims as new,device is already named abhis real me device,even i dont get replacement while paying complete payment of 5000 for new product, buy at ur own risk, customer service is too worst, the sensor of buds are not sensitive."
6,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Best buy for any price under ₹4000,5.0 out of 5 stars,"ANC in this price range definitely is a game changer. Its not the best but, its better than nothing. It doesn't cancel out the higher frequencies but does a good work with giving us a glimpse at the experience that only premium products deliver.Audio profile is not flat. It tends to be a bit more tuned for bass, but its fine for me. And the bass in this is really imoressive.Build quality is pretty good. Its been about a month since i bought it, but still no wears or scratches.And the REALME LINK appisa cherry on top.Overall, i would say its a best buy for any price under ₹4000.You'll be getting ANC, good sound quality, boosted bass, good built etc."
7,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Super airbud,5.0 out of 5 stars,"Buds is very premium look nd it's worth for money, anc is pretty good nd bass  quality is excellent ....... Love this airbud......."
8,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Nice,5.0 out of 5 stars,I can say these are beeter than apple airpods pro. Design is just like them and sound quality is superb. Noise cancellation works really nice. Go for it.
9,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Wrong Product delivered,1.0 out of 5 stars,Wrong colour and defective product delivered i need refund
10,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Pathetic!,1.0 out of 5 stars,Received used product. Carries a name of previous owner.
